mean,max,min
226.8,302,112
262.2,304,172
282.0,303,261
236.0,305,37
237.2,306,69
277.6,307,260
227.0,282,69
281.4,305,261
275.0,292,260
194.6,283,70
282.0,307,261
238.0,307,69
280.0,307,250
282.0,307,257
239.8,295,114
250.8,307,111
252.0,303,120
257.0,307,156
274.2,305,256
279.2,306,261
281.8,307,260
279.8,300,258
283.0,307,261
280.8,307,261
237.2,307,69
265.8,303,187
239.0,307,77
253.4,306,119
275.4,305,260
279.8,293,261
281.8,306,260
229.4,305,47
268.6,307,251
258.8,302,173
254.0,304,133
254.6,286,172
279.2,306,255
239.6,307,154
281.8,307,258
281.6,306,260
281.0,307,258
255.8,305,166
281.0,303,260
282.4,307,260
282.4,306,260
217.4,293,111
278.6,307,253
280.8,307,261
282.2,304,261
240.8,304,87
281.6,307,258
282.2,307,261
280.6,303,261
282.0,304,259
200.4,307,77
213.6,306,68
250.2,307,113
131.6,283,48
250.6,306,102
281.2,306,257
280.2,307,249
221.0,291,141
255.8,305,161
240.4,307,156
257.2,305,168
281.2,303,260
251.0,307,143
278.6,299,256
281.0,298,261
278.6,307,259
282.4,307,260
281.2,307,260
277.0,303,235
264.4,292,216
275.4,304,238
282.0,307,258
244.0,306,130
261.2,303,170
282.0,306,257
199.4,307,10
282.6,307,261
281.2,307,261
268.0,304,223
244.8,307,106
273.4,303,252
252.4,307,143
281.2,305,259
281.6,304,261
280.6,305,260
282.8,307,261
279.2,306,260
248.4,302,128
251.0,306,124
258.8,305,188
282.2,307,261
223.0,307,113
280.2,300,259
281.6,302,261
237.2,305,67
281.4,306,261
282.4,306,260
273.6,300,260
282.8,307,261
279.6,296,260
271.8,307,245
281.2,302,260
254.4,307,157
212.8,292,98
258.8,307,175
250.0,294,148
282.4,305,260
265.0,293,195
276.0,303,235
229.2,307,143
251.0,307,112
282.6,306,261
277.2,306,261
282.4,307,260
253.2,304,151
259.8,307,187
281.6,307,259
250.8,307,127
252.0,306,154
280.6,304,261
255.6,304,163
238.6,285,99
282.0,306,261
280.8,301,261
281.6,307,261
249.6,298,131
224.0,283,71
254.6,307,204
270.0,306,207
280.2,304,261
251.2,307,124
281.6,307,257
281.0,306,260
282.2,306,261
281.2,307,261
255.6,303,162
281.4,304,261
277.6,307,235
283.0,307,261
282.6,307,260
278.2,307,252
282.6,307,261
278.2,307,257
272.6,305,246
281.4,300,261
279.6,303,254
282.8,307,260
247.4,306,112
281.4,307,260
281.6,307,261
264.2,294,215
213.0,290,111
282.2,307,259
277.0,303,256
282.8,307,261
264.6,290,223
250.4,307,122
254.6,307,164
280.4,307,260
280.4,303,261
281.4,307,260
282.0,304,261
281.8,305,259
251.8,307,129
282.0,307,259
282.4,307,260
279.8,304,249
282.6,307,260
280.0,307,248
281.8,307,261
281.6,307,257
277.6,307,235
281.4,304,258
249.0,305,121
258.0,305,172
277.4,307,242
280.6,307,260
274.2,307,257
275.8,307,235
279.0,305,260
260.0,307,212
281.2,305,261
281.0,306,260
240.0,306,120
267.2,302,237
269.2,307,225
279.8,307,257
257.4,307,159
223.2,307,112
247.8,307,118
281.8,307,261
281.8,306,260
253.2,307,117
282.8,307,260
281.2,304,261
281.0,305,261
246.0,306,113
250.0,304,120
281.2,307,261
280.4,306,261
282.8,307,260
281.6,306,258
281.6,304,261
281.0,307,256
280.2,305,257
249.0,307,120
281.6,306,259
276.0,305,261
281.2,304,258
250.2,307,126
282.0,307,260
230.2,302,108
253.0,306,121
257.8,307,185
213.8,305,48
272.2,307,241
253.8,306,148
227.2,307,51
253.4,307,118
280.2,307,252
280.6,301,261
282.0,306,261
281.8,306,260
262.6,282,224
253.6,307,119
280.0,307,261
249.4,307,121
281.6,307,257
262.4,307,173
277.2,307,235
282.4,307,260
281.6,307,260
280.2,307,250
281.6,304,261
281.2,307,259
281.8,307,260
279.8,307,261
231.0,306,9
256.2,302,143
236.0,307,26
279.8,306,261
271.0,303,247
282.4,307,261
251.2,307,113
283.0,307,261
282.2,307,261
230.8,306,6
249.8,307,117
281.4,307,256
266.2,306,212
281.6,305,260
281.6,305,259
282.0,302,261
256.2,307,151
282.8,307,261
281.4,307,257
282.8,307,261
281.6,300,261
280.2,307,255
282.4,307,260
281.6,306,258
282.2,307,261
245.2,307,117
282.6,307,261
281.4,307,257
254.8,304,157
281.8,307,260
282.8,306,261
282.6,306,260
281.8,306,259
282.2,306,261
247.8,306,111
281.8,305,261
282.6,306,261
234.6,303,124
281.8,306,261
248.2,306,124
223.4,302,114
260.8,305,187
282.6,307,259
280.8,306,261
282.6,307,260
