mean,max,min
98.4,126,40
98.6,128,40
97.2,122,39
97.8,121,40
126.4,237,39
107.0,137,39
175.6,251,39
143.6,226,39
95.2,114,40
117.4,132,99
112.8,128,100
108.0,122,96
125.2,229,64
115.6,130,97
103.0,133,35
123.6,240,40
98.2,128,39
96.2,128,29
95.0,114,39
124.0,229,40
148.0,245,111
153.8,227,97
166.2,248,113
174.8,269,113
126.0,265,41
130.4,206,99
115.0,131,98
156.0,228,44
160.2,245,112
113.4,131,99
111.8,125,99
98.0,124,42
133.4,228,98
132.6,196,110
152.0,221,43
194.6,262,111
163.0,204,96
133.6,210,112
166.2,247,106
188.0,253,115
134.0,185,111
215.0,248,110
174.4,249,120
186.2,255,113
165.6,205,114
147.6,256,41
129.0,256,46
182.8,255,123
167.4,255,107
171.8,268,100
142.4,249,41
161.6,234,114
163.6,246,113
98.0,122,40
155.2,267,99
122.0,162,97
113.0,126,98
116.6,173,58
98.6,126,39
98.4,125,40
97.0,125,35
165.0,248,114
146.6,258,106
135.2,228,98
92.4,112,34
127.2,251,44
134.4,257,40
111.4,173,40
93.4,112,35
100.4,126,41
117.0,222,39
187.2,261,99
100.0,120,39
102.4,197,42
153.0,252,40
139.2,257,39
112.2,122,98
127.0,253,42
129.8,283,42
95.6,117,39
198.2,272,97
95.0,113,40
114.6,133,96
94.8,114,38
164.4,278,40
144.2,258,42
109.0,172,40
95.2,113,40
98.4,124,39
101.4,127,42
106.4,149,42
210.0,266,113
116.2,135,103
126.4,170,109
95.0,114,43
114.2,135,98
121.6,237,43
160.6,282,41
126.6,271,39
142.2,266,41
131.6,263,40
125.0,254,43
116.4,125,107
143.6,292,40
193.0,282,39
95.6,115,42
138.8,257,99
97.8,123,40
125.4,266,37
132.2,272,38
126.2,157,112
95.2,113,38
97.6,124,42
106.2,152,38
125.0,156,112
116.8,132,99
154.2,283,39
108.4,155,40
125.4,265,38
138.4,280,39
98.8,127,37
126.2,155,109
134.2,292,40
98.0,115,40
109.6,183,36
127.2,283,36
114.4,135,96
124.4,151,112
114.8,136,95
164.0,270,94
171.8,281,97
128.2,270,38
166.8,289,111
142.6,261,100
124.6,257,39
188.8,282,113
207.4,305,36
144.4,258,98
95.2,114,37
147.8,282,99
220.2,288,114
196.8,299,37
193.4,259,111
114.4,136,97
151.0,270,36
165.2,283,38
198.0,293,42
156.0,291,36
124.2,173,99
275.8,307,243
100.6,124,40
95.0,116,38
126.2,161,109
102.4,155,38
95.4,124,36
268.0,307,225
178.2,283,112
207.8,277,111
211.2,283,115
209.6,283,112
212.6,290,109
159.2,286,37
241.4,294,110
141.6,291,35
144.2,274,94
138.2,268,37
173.4,276,104
223.8,292,129
175.4,305,123
194.0,274,94
187.2,288,36
176.4,303,33
152.8,306,37
187.4,294,110
124.6,238,38
114.2,124,99
259.8,297,227
158.4,281,34
254.4,296,130
133.0,266,38
150.4,268,100
165.0,280,34
188.6,278,113
172.0,283,111
145.4,260,108
216.2,282,119
176.6,307,40
205.6,275,113
193.2,283,120
190.6,292,112
202.8,265,112
211.8,293,113
233.2,287,112
201.8,269,98
157.2,259,112
240.4,283,107
250.4,292,151
219.6,294,111
185.8,293,110
235.4,295,98
169.4,281,38
190.0,283,115
211.8,294,111
